archived_id	survivor_id	verdict	confidence	evidence
00270873	a74d282c	CORRECT	HIGH	Survivor: "resolving the pre-execution blocker (id:00270873)"; answers all 4 numbered sub-questions verbatim
02c43a80	154793b6	CORRECT	HIGH	Survivor: "Transferred from absorb work (id:02c43a80)"; near-identical 8-step method, both re commit 9c57b9a0
053488da	949e94a8	CORRECT	HIGH	Survivor cites "(id:053488da)" and near-verbatim quotes "edge model, reclassification, 120 relation types emerge"
05a1b897	fb1a4308	CORRECT	HIGH	Survivor quotes archived verbatim: "the conversation history IS Anchor's working state-of-mind (id:05a1b897)"
05e8bd3d	00ae9653	CORRECT	HIGH	Both cite commit 5cff407, 57,672 rows stamped, 22,416 cleaned; survivor: "(id:05e8bd3d) was a significant side effect"
072aa054	0b273401	CORRECT	HIGH	Survivor repeats exact figures "1318 fresh / 4737 cached-read / 4737 cached-write / 514 out, 50% hit (id:072aa054)"
07995b77	a6db48d1	CORRECT	HIGH	Survivor quotes same FB+YouTube 12+21 example verbatim and cites "(id:07995b77)"
0b665446	ac445839	CORRECT	HIGH	Survivor: "Replaces the problematic two-writer architecture (id:0b665446)"; same conn_recall_write race
0f8f5146	83fcf1a3	UNCERTAIN	LOW	Survivor cites a DIFFERENT id (5736eefa) for the turn-6 3-way decision; archived's 32-dim decision-rules list is absent from survivor
1017b4ac	a068777c	CORRECT	HIGH	Survivor: "Extended thinking was definitively rejected (id:1017b4ac)"; matching 22-27s/30-90% cost figures
119e6a49	b9f78d07	CORRECT	HIGH	Survivor cites exact path "/tmp/brain-maintenance-503.lock (id:119e6a49)"
12fa1c45	f161d81a	CORRECT	HIGH	Survivor cites "gpt4_2487a7cb (id:12fa1c45)" with matching "7/40 event_time nodes" stat
1603a494	5fea6323	CORRECT	HIGH	Survivor: "Steps 2+3+4: source_refs write path live (id:1603a494)" — MCP schema/F1 fix detail matches
165f35c7	12c6ea35	CORRECT	HIGH	Both list same 12 numbered items/decisions (fatigue storage, VACUUM, SKILL.md); survivor cites "(id:165f35c7)"
1945957a	9d55cc47	CORRECT	MEDIUM	Survivor: "Prior session 2026-05-11...not registered to live brain (id:1945957a)" matches archived verbatim; different-date time_anchors
1a7d07f2	fe2a6ba4	CORRECT	HIGH	Survivor: "Option A vs B analysis (id:1a7d07f2)"; both describe same Sonnet-4.6 junior-Anchor answerer decision
1c3baf0b	feb42fbf	CORRECT	MEDIUM	Survivor cites "(id:1c3baf0b)" and matches "interaction seed pulled from live DB" 2026-05-03 fact; different-date time_anchors
1c9821d3	856dc948	CORRECT	HIGH	Survivor: "friction emerged during eval agent work (id:1c9821d3)"; both propose identical get_node_lineage(node_id) signature
238af40e	60356227	CORRECT	HIGH	Survivor: "Phase 1 verified (id:238af40e)"; both cite qid 58470ed2, 87.6s smoke test
297aff39	0c63792a	CORRECT	HIGH	Survivor: "v15.6 Results (id:297aff39): 3/15 pass = 20%" — exact figure match, same abstention-100% finding
